time,open,close,high,low,volume
1559042340000,0.1,0.1,0.1,0.1,10.0
1559043900000,0.15,0.18899999999999997,0.18899999999999997,0.15,140.47211928000002
1559043960000,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.18899999999999997,84.0
1559044020000,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.18899999999999997,58.0
1559044140000,0.151,0.151,0.151,0.151,99.8
1559044200000,0.151,0.151,0.151,0.151,900.2
1559044320000,0.177,0.177,0.177,0.177,10.0
1559044440000,0.149,0.149,0.149,0.149,10.0
1559044500000,0.1464,0.1464,0.1464,0.1464,10.0
1559044980000,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.14300000000000002,10.0
1559045040000,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.14300000000000002,19.0
1559045100000,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.14300000000000002,36.0
1559045460000,0.14289000000000002,0.14289000000000002,0.14289000000000002,0.14289000000000002,15.0
1559045940000,0.10001,0.1,0.10001,0.1,2.0
1559046060000,0.10001,0.091111,0.10001,0.091111,1572.2121789
1559046240000,0.11,0.11,0.11,0.11,117.0
1559046300000,0.11,0.11,0.11,0.11,55.0
1559046360000,0.11,0.11,0.11,0.11,10.0
1559046600000,0.11,0.11,0.11,0.11,11.0
1559047440000,0.095001,0.095,0.095001,0.095,1102.08988889
1559048520000,0.095001,0.095,0.095001,0.095,400.08988889
1559053380000,0.095,0.095,0.095,0.095,1.0
1559053440000,0.095,0.095,0.095,0.095,25.0
1559053560000,0.095,0.095,0.095,0.095,15.0
1559073540000,0.090001,0.09,0.090001,0.09,289.8676358
1559076120000,0.080001,0.08,0.080001,0.08,1.001
1559076180000,0.07,0.055,0.07,0.055,144.22125931
1559080320000,0.060001,0.06,0.060001,0.06,3214.0
1559092500000,0.062222,0.0615,0.062223,0.0615,9000.0
1559092560000,0.09,0.09,0.09,0.09,5000.0
1559092620000,0.09,0.09,0.09,0.09,1000.0
1559101980000,0.0895,0.0895,0.0895,0.0895,7661.72184212
1559102040000,0.0895,0.09,0.09,0.0895,2883.49821188
1559102100000,0.099999,0.1,0.1,0.099999,3267.0738147
1559130300000,0.105,0.11,0.11,0.105,1000.0
1559134920000,0.11,0.11,0.11,0.11,3142.22125931
1559134980000,0.11001,0.11,0.11001,0.11,489.1295216
1559136660000,0.085001,0.085,0.085001,0.085,497.37317504
1559154480000,0.080501,0.080501,0.080501,0.080501,284.10807376
1559159700000,0.1295,0.1295,0.1295,0.1295,500.0
1559160300000,0.129,0.1298,0.1298,0.12853,949.8580000000001
1559194560000,0.10101,0.10099999999999999,0.10101,0.10099999999999999,804.2772081100002
1559195040000,0.10001,0.10001,0.10001,0.10001,32.0
1559199180000,0.10001,0.09843400000000001,0.10001,0.09843400000000001,474.963975
1559199240000,0.09843400000000001,0.09734,0.09843400000000001,0.09734,98.0
1559212740000,0.092001,0.092,0.092001,0.092,92.0
1559236080000,0.092001,0.092,0.092001,0.092,140.0
1559236200000,0.092001,0.092,0.092001,0.092,64.0
1559238120000,0.091433,0.08743,0.091433,0.08743,360.0126
1559238180000,0.086201,0.0862,0.086201,0.0862,639.98
1559251560000,0.085001,0.085,0.085001,0.085,232.0
1559251620000,0.083539,0.083538,0.083539,0.083538,432.0
1559253000000,0.082423,0.073174,0.082423,0.07,3088.40754512
1559253060000,0.068424,0.066666,0.068424,0.066666,1280.24245488
1559269680000,0.066723,0.066723,0.066723,0.066723,350.72120677
1559279940000,0.10747999999999999,0.10747999999999999,0.10747999999999999,0.10747999999999999,250.0
1559290500000,0.099,0.099,0.099,0.098999,4234.0
1559377440000,0.07266,0.07266,0.07266,0.07266,889.31582336
1559377500000,0.07266,0.071555,0.07266,0.071555,4483.5858929
1559377620000,0.071983,0.070397,0.071983,0.070397,814.99218163
1559389620000,0.07456,0.07456,0.07456,0.07456,1160.13693592
1559401080000,0.07315,0.073,0.07315,0.073,3532.0
1559401140000,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,1000.0
1559422980000,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.07400000000000001,3340.70278185
1559423040000,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.07400000000000001,224.52654702
1559424780000,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.07400000000000001,666.8
1559424840000,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.07400000000000001,666.8
1559424900000,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.07400000000000001,1333.6
1559425020000,0.07400000000000001,0.0683,0.07400000000000001,0.0683,4222.62262558
1559425140000,0.06668500000000001,0.06707300000000001,0.06707300000000001,0.06666,800.0
1559425380000,0.064451,0.064451,0.064451,0.064451,6566.32765948
1559458920000,0.07055,0.070551,0.070551,0.07055,469.68533243
1559461740000,0.06445,0.063222,0.06445,0.063222,20000.0
1559463360000,0.06699400000000001,0.066996,0.066996,0.06699400000000001,487.83529391
1559464500000,0.067,0.067,0.067,0.067,2994.0
1559464620000,0.067999,0.068,0.068,0.067999,4387.53444189
1559475240000,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,1856.3687048
1559476260000,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,7274.34739107
1559486400000,0.072001,0.07200000000000001,0.072001,0.07200000000000001,2356.49693079
1559525820000,0.068999,0.069,0.069,0.068999,1215.8006276899996
1559550900000,0.067999,0.067999,0.067999,0.067999,5983.62124443
1559551500000,0.063501,0.0635,0.063501,0.0635,120.73095557
1559552820000,0.063666,0.063666,0.063666,0.063666,7000.0
1559552940000,0.071,0.071,0.071,0.071,166.856
1559553000000,0.071,0.071,0.071,0.071,1000.0
1559555760000,0.070001,0.07,0.070001,0.07,132.0
1559590680000,0.067999,0.067999,0.067999,0.067999,2339.23005015
1559608440000,0.064,0.064,0.064,0.064,959.5822
1559622480000,0.064,0.064,0.064,0.064,681.17019156
1559633220000,0.063001,0.063,0.063001,0.063,1145.97380843
1559657520000,0.063001,0.063,0.063001,0.063,29500.0
1559657640000,0.075,0.075,0.075,0.075,100.0
1559657700000,0.075,0.075,0.075,0.075,50.0
1559657820000,0.070001,0.06932,0.070001,0.06932,708.2845204099998
1559658060000,0.068439,0.068347,0.068439,0.068347,215.0
1559664360000,0.064228,0.06422699999999999,0.064228,0.06422699999999999,115.0
1559698260000,0.064999,0.065,0.065,0.064999,3575.87367034
1559704920000,0.069,0.069428,0.069428,0.068537,17964.0
1559753820000,0.063002,0.063001,0.063002,0.063001,12504.3286
1559756340000,0.063002,0.063001,0.063002,0.063001,16000.0
1559902620000,0.063003,0.063002,0.063003,0.063002,4949.0
1560032100000,0.063003,0.069,0.069,0.063001,54500.0
1560118740000,0.063002,0.060011,0.063002,0.060011,3000.58615729
1560118800000,0.058428999999999995,0.057224000000000004,0.058428999999999995,0.057224000000000004,242.583
1560174960000,0.063,0.064997,0.064997,0.063,400.0
1560192840000,0.055,0.055,0.055,0.055,102.79
1560192900000,0.055,0.054238,0.055,0.054238,434.7458622
1560192960000,0.054238,0.053227,0.054238,0.053227,185.7711274
1560193020000,0.053227,0.053227,0.053227,0.053227,70.07811587
1560193080000,0.052434,0.05,0.052434,0.05,361.491
1560195600000,0.064,0.064,0.064,0.064,100.0
1560244260000,0.063,0.063,0.063328,0.062,8019.0
1560244320000,0.0634,0.0633,0.0634,0.063,4177.0
1560244380000,0.062999,0.062999,0.062999,0.062999,102.70626109
1560244440000,0.06329,0.0632,0.064,0.0632,4600.5414378
1560248400000,0.0632,0.0632,0.0632,0.0632,46.0
1560336300000,0.0629,0.0629,0.0629,0.0629,1320.0
1560336480000,0.062,0.062,0.062,0.062,400.0
1560427380000,0.050394,0.0501,0.050394,0.0501,784.61051208
1560519960000,0.067829,0.067829,0.067829,0.067829,1800.0
1560784380000,0.0678,0.069,0.069,0.0678,12945.51697116
1560785460000,0.062,0.062,0.062,0.062,800.0
1560813420000,0.068999,0.069,0.069,0.068999,2397.0655813000008
1560826500000,0.062,0.062,0.062,0.062,1612.9032258
1560826920000,0.061999,0.062,0.062,0.061999,1216.27799262
1560827160000,0.062,0.062,0.062,0.062,997.99997548
1560827220000,0.062,0.062,0.062,0.062,556.67350876
1560865800000,0.06299,0.063,0.063,0.06299,5953.58862921
1560876420000,0.06,0.06,0.06,0.06,1500.0
1560953400000,0.06,0.06,0.06,0.06,371.97537079
1561138800000,0.0503,0.06,0.06,0.05,12240.0
1561138860000,0.06012000000000001,0.06012000000000001,0.06012000000000001,0.06012000000000001,25718.1668
1561177860000,0.0599,0.0599,0.0599,0.0599,69.86
1561214460000,0.0685,0.064823,0.0685,0.064823,15714.71452
1561214520000,0.066,0.066,0.066,0.066,4824.4284
1561214580000,0.073814,0.073814,0.073814,0.073814,3921.0
1561215780000,0.07542599999999999,0.075451,0.075451,0.07542599999999999,715.31145853
1561222200000,0.07545,0.075451,0.075451,0.07545,79.50547593
1561239480000,0.07,0.07,0.07,0.07,54.0
1561239540000,0.07,0.072828,0.072828,0.07,1000.0
1561318800000,0.072828,0.072828,0.072828,0.072828,200.0
1561319160000,0.066,0.066,0.066,0.066,11012.6154
1561319220000,0.066,0.066,0.066,0.066,17051.532339999998
1561372620000,0.072828,0.072828,0.072828,0.072828,54.0
1561412700000,0.066,0.066,0.066,0.066,13725.0
1561412820000,0.066999,0.067,0.067,0.066999,300.0
1561414500000,0.067,0.067,0.067,0.067,72.74824296
1561505400000,0.07,0.07,0.07,0.07,14000.0
1561505460000,0.072828,0.072828,0.072828,0.072828,100.0
1561520040000,0.066001,0.075451,0.075451,0.066,1239.68786479
1561574400000,0.06528300000000001,0.065282,0.06528300000000001,0.065282,236.42848
1561575180000,0.061195000000000006,0.061194000000000005,0.061195000000000006,0.061194000000000005,156.3183
1561582560000,0.075449,0.075449,0.075449,0.075449,60.30034168
1561598880000,0.06,0.06,0.0601,0.06,14296.4284
1561662420000,0.07,0.061,0.07,0.061,23019.076
1561662480000,0.060001,0.06,0.060001,0.06,507.4115432
1561664820000,0.060001,0.06,0.060001,0.06,161.58845680000005
1561664880000,0.057482000000000005,0.057482000000000005,0.057482000000000005,0.057482000000000005,83.4843
1561665000000,0.052823,0.052822,0.052823,0.052822,109.0
1561732740000,0.07399800000000001,0.073999,0.073999,0.07399800000000001,200.0
1561745100000,0.057999999999999996,0.06,0.06,0.0575,22354.284
1561745220000,0.061029999999999994,0.062,0.062,0.061029999999999994,5923.285232
1561823820000,0.061,0.062,0.062,0.06,18608.3892
1562170740000,0.06,0.06,0.06,0.06,4500.0
1562170800000,0.061,0.061,0.061,0.061,5126.273163
1562171940000,0.062,0.0615,0.062,0.0615,11310.5846677
1562172000000,0.06,0.06,0.06,0.06,5183.52848
1562344140000,0.053001,0.052820000000000006,0.053001,0.052820000000000006,2578.4855347
1562353080000,0.063139,0.063139,0.063139,0.063139,24916.7136
1562457300000,0.052825,0.052820000000000006,0.052825,0.052820000000000006,1783.13884757
1562457420000,0.048463,0.048387,0.048463,0.048387,131.736
1562503200000,0.0554,0.0554,0.0554,0.0554,1843.5922592
1562504160000,0.0554,0.0554,0.0554,0.0554,163.3498763
1562504340000,0.058107000000000006,0.058633000000000005,0.058633000000000005,0.058107000000000006,1760.46082434
1562510400000,0.0564,0.0564,0.0564,0.0564,626.78014088
1562521860000,0.0564,0.0564,0.0564,0.0564,1151.41809284
1562611080000,0.0564,0.058927,0.058927,0.0564,32237.7915709
1562801040000,0.05599,0.05599,0.05599,0.05599,24772.0
1563119340000,0.048399,0.048387,0.048399,0.048387,558.988
1563149940000,0.045635,0.045634,0.045635,0.045634,104.0
1563150540000,0.043441,0.04344,0.043441,0.04344,137.528
1563179580000,0.042388,0.041373,0.042388,0.041373,557.328
1563217800000,0.044539999999999996,0.05,0.05,0.044539999999999996,23695.6
1563218040000,0.050818,0.050818,0.050818,0.050818,108.21985912
1563241200000,0.050818,0.050818,0.050818,0.050818,65.13213162
1563302520000,0.040001,0.04,0.040001,0.04,154.0
1563302580000,0.050818,0.055,0.055,0.050818,29521.80800926
1563543960000,0.039001,0.039,0.039001,0.039,1000.0
1563544020000,0.03853,0.032,0.03853,0.032,1273.9868
1563544080000,0.03,0.026000000000000002,0.03,0.026000000000000002,1591.17001827
1563544140000,0.024999,0.025,0.025,0.024999,39942.294064
1563544200000,0.025,0.025,0.025,0.024999,4803.744777
1563544260000,0.024999,0.024999,0.024999,0.024999,245.21186
1563776820000,0.04024,0.04024,0.04024,0.04024,27985.358519999998
1563776880000,0.04024,0.04024,0.04024,0.04024,18656.90568
1563918540000,0.045,0.045,0.045,0.045,49861.0
1564191720000,0.045,0.045,0.045,0.045,1000.0
1564273920000,0.045028,0.045028,0.045028,0.045028,76707.0
1564676700000,0.057499,0.028999999999999998,0.057499,0.028999999999999998,128.0
1564709820000,0.057499,0.028999999999999998,0.057499,0.028999999999999998,139.0
1564709880000,0.057499,0.07200000000000001,0.07200000000000001,0.057499,2072.32354059
1564709940000,0.03,0.07200000000000001,0.073585,0.03,12130.0
1564710000000,0.03,0.03,0.073586,0.03,10050.0
1564710060000,0.07200000000000001,0.036436,0.07200000000000001,0.036436,4064.0
1564710120000,0.032,0.032,0.07200000000000001,0.032,11960.0
1564711560000,0.028999999999999998,0.02814,0.028999999999999998,0.02814,3592.4463939999996
1565200560000,0.02937,0.02937,0.02937,0.02937,303.687317
1565359320000,0.02937,0.02937,0.02937,0.02937,662.672
1565536020000,0.028141000000000003,0.02814,0.028141000000000003,0.02814,145.0
1565819280000,0.045,0.026000000000000002,0.045,0.026000000000000002,129.87000061999998
1565855160000,0.038,0.038,0.038,0.038,81456.0
1566908700000,0.026000000000000002,0.025001,0.026000000000000002,0.025001,1994.0
1566966540000,0.04238,0.04238,0.04238,0.04238,49704.0
1567803900000,0.0285,0.0285,0.0285,0.0285,659.14522
1567822860000,0.0285,0.0285,0.0285,0.0285,240.85477999999998
1567823040000,0.0254,0.0252,0.0254,0.0252,2792.1734452
1567823100000,0.02201,0.022000000000000002,0.02201,0.022000000000000002,423.42400000000004
1567823220000,0.019,0.008,0.019,0.008,4655.965999999999
1567823280000,0.005,0.0039773000000000005,0.005,0.0039773000000000005,2923.428
1567823340000,0.0039773000000000005,0.0039773000000000005,0.0039773000000000005,0.0039773000000000005,2000.0
1567831680000,0.0061,0.0061,0.0061,0.0061,299.4
1567892220000,0.021,0.021,0.021,0.021,298.8012
1567914000000,0.019735,0.019735,0.019735,0.019735,1516.24107143
1567922460000,0.024,0.025141999999999998,0.025141999999999998,0.024,1784.44464286
1568172120000,0.02555,0.031,0.031,0.02555,62144.509000000005
1569224880000,0.0372,0.0372,0.0372,0.0372,154.0
1569273960000,0.03494,0.03494,0.03494,0.03494,254.37181663
1569288120000,0.032,0.032,0.032,0.032,77833.0
1569314100000,0.03483,0.034831,0.034831,0.03483,998.10367375
1569348960000,0.025,0.025,0.025,0.025,9846.274447
1569396120000,0.025,0.025,0.025,0.025,134.0
1569533820000,0.025,0.025,0.025,0.025,14.725553
1569533880000,0.034999,0.037319,0.037319,0.0084,2556.11335771
1569533940000,0.0092,0.03,0.033,0.0092,4685.16
1569534000000,0.037319,0.0399,0.0399,0.0099,3607.3466563
1569534060000,0.038,0.01107,0.038,0.01107,5850.0
